# DataThief /Users/tim/Dropbox/work/Projects/20_greenedge/datathief/./Hamano+15_Fig12a/Figure.png Tuesday 21-Apr-2020 4:08:35 PM
# T_surf (K), OLR (W/m^2)
1166.4524, 293.8537
1168.0591, 293.8532
1169.6658, 293.8527
1171.2725, 293.8523
1172.8792, 293.8518
1174.4859, 293.8513
1176.0925, 293.8509
1177.6992, 293.8504
1179.3059, 293.8498
1180.9125, 293.8495
1182.5192, 293.849
1184.126, 293.8485
1185.7326, 293.8481
1187.3393, 293.8476
1188.946, 293.8471
1190.5527, 293.8467
1192.1594, 293.8462
1193.7661, 293.8457
1195.3728, 293.8453
1196.9794, 293.8448
1198.5861, 293.8443
1200.1928, 293.8439
1201.7995, 293.8434
1203.4062, 293.8429
1205.0129, 293.8425
1206.6195, 293.842
1208.2262, 293.8415
1209.8329, 293.8411
1211.4396, 293.8406
1213.0463, 293.8401
1214.653, 293.8397
1216.2596, 293.8392
1217.8662, 293.8387
1219.4729, 293.8383
1221.0796, 293.8378
1222.6864, 293.8373
1224.2931, 293.8369
1225.8997, 293.8364
1227.5064, 293.8359
1229.1131, 293.8355
1230.7198, 293.835
1232.3265, 293.8345
1233.9332, 293.834
1235.5398, 293.8336
1237.1465, 293.8331
1238.7532, 293.8327
1240.3599, 293.8322
1241.9666, 293.8317
1243.5733, 293.8313
1245.1799, 293.8308
1246.7866, 293.8303
1248.3933, 293.8298
1250.0, 293.8294
1251.6067, 293.8289
1253.2134, 293.8285
1254.8201, 293.8279
1256.4267, 293.8275
1258.0334, 293.8271
1259.6401, 293.8266
1261.2468, 293.826
1262.8535, 293.8256
1264.4602, 293.8252
1266.0668, 293.8247
1267.6735, 293.8243
1269.2802, 293.8237
1270.8869, 293.8233
1272.4936, 293.8229
1274.1003, 293.8224
1275.7069, 293.8218
1277.3136, 293.8215
1278.9203, 293.821
1280.527, 293.8205
1282.1337, 293.8201
1283.7404, 293.8195
1285.347, 293.8191
1286.9537, 293.8187
1288.5604, 293.8182
1290.1671, 293.8176
1291.7738, 293.8173
1293.3805, 293.8168
1294.987, 293.8163
1296.5937, 293.8159
1298.2005, 293.8154
1299.8072, 293.8149
1301.4139, 293.8145
1303.0206, 293.814
1304.6272, 293.8135
1306.2339, 293.8131
1307.8406, 293.8126
1309.4473, 293.8121
1311.054, 293.8117
1312.6606, 293.8112
1314.2674, 293.8107
1315.874, 293.8103
1317.4807, 293.8098
1319.0874, 293.8093
1320.6941, 293.8089
1322.3008, 293.8084
1323.9075, 293.8079
1325.5141, 293.8075
1327.1208, 293.807
1328.7275, 293.8065
1330.3342, 293.8061
1331.9409, 293.8056
1333.5476, 293.8051
1335.1542, 293.8047
1336.7609, 293.8042
1338.3676, 293.8037
1339.9743, 293.8033
1341.581, 293.8028
1343.1877, 293.8023
1344.7943, 293.8018
1346.401, 293.8014
1348.0077, 293.8009
1349.6143, 293.8005
1351.2211, 293.8
1352.8277, 293.7995
1354.4344, 293.7991
1356.0411, 293.7986
1357.6478, 293.7981
1359.2545, 293.7976
1360.8612, 293.7972
1362.4679, 293.7967
1364.0746, 293.7963
1365.6812, 293.7957
1367.2879, 293.7953
1368.8946, 293.7949
1370.5013, 293.7944
1372.108, 293.7939
1373.7147, 293.7934
1375.3213, 293.793
1376.928, 293.7925
1378.5347, 293.7921
1380.1414, 293.7915
1381.7481, 293.7911
1383.3548, 293.7907
1384.9614, 293.7902
1386.5681, 293.7896
1388.1748, 293.7893
1389.7814, 293.7888
1391.3881, 293.7883
1392.9949, 293.7879
1394.6015, 293.7873
1396.2082, 293.7869
1397.8149, 293.7865
1399.4216, 293.786
1401.0283, 293.7854
1402.635, 293.7851
1404.2416, 293.7846
1405.8483, 293.7841
1407.455, 293.7837
1409.0617, 293.7832
1410.6684, 293.7827
1412.2751, 293.7823
1413.8817, 293.7818
1415.4884, 293.7812
1417.0951, 293.7809
1418.7018, 293.7804
1420.3085, 293.7799
1421.9152, 293.7795
1423.5219, 293.779
1425.1285, 293.7785
1426.7351, 293.7781
1428.3418, 293.7776
1429.9485, 293.7771
1431.5553, 293.7767
1433.162, 293.7762
1434.7686, 293.7757
1436.3753, 293.7753
1437.982, 293.7748
1439.5887, 293.7743
1441.1954, 293.7739
1442.8021, 293.7734
1444.4087, 293.7729
1446.0154, 293.7725
1447.6221, 293.772
1449.2288, 293.7715
1450.8355, 293.7711
1452.4422, 293.7706
1454.0488, 293.7701
1455.6555, 293.7697
1457.2622, 293.7692
1458.8689, 293.7687
1460.4756, 293.7683
1462.0823, 293.7678
1463.6888, 293.7673
1465.2955, 293.7669
1466.9022, 293.7664
1468.509, 293.766
1470.1157, 293.7654
1471.7224, 293.765
1473.329, 293.7646
1474.9357, 293.7641
1476.5424, 293.7635
1478.1491, 293.7631
1479.7558, 293.7627
1481.3625, 293.7622
1482.9691, 293.7618
1484.5758, 293.7612
1486.1825, 293.7608
1487.7892, 293.7604
1489.3959, 293.7599
1491.0026, 293.7593
1492.6093, 293.759
1494.2159, 293.7585
1495.8226, 293.758
1497.4293, 293.7576
1499.036, 293.757
1500.6427, 293.7566
1502.2494, 293.7562
1503.8559, 293.7557
1505.4627, 293.7551
1507.0694, 293.7548
1508.6761, 293.7543
1510.2828, 293.7538
1511.8895, 293.7534
1513.4961, 293.7529
1515.1028, 293.7524
1516.7095, 293.752
1518.3162, 293.7515
1519.9229, 293.751
1521.5295, 293.7506
1523.1362, 293.7501
1524.7429, 293.7496
1526.3496, 293.7492
1527.9563, 293.7487
1529.563, 293.7482
1531.1697, 293.7478
1532.7763, 293.7473
1534.383, 293.7468
1535.9897, 293.7464
1537.5964, 293.7459
1539.2031, 293.7454
1540.8098, 293.745
1542.4165, 293.7445
1544.0231, 293.744
1545.6298, 293.7436
1547.2365, 293.7431
1548.8432, 293.7426
1550.4499, 293.7422
1552.0566, 293.7417
1553.6632, 294.1042
1555.2699, 294.1037
1556.8766, 294.1033
1558.4833, 294.1028
1560.09, 294.1023
1561.6966, 294.1019
1563.3033, 294.1014
1564.91, 294.1009
1566.5167, 294.1005
1568.1234, 294.1
1569.7301, 294.0995
1571.3368, 294.0991
1572.9434, 294.0986
1574.5501, 294.0981
1576.1568, 294.0977
1577.7635, 294.0972
1579.3702, 294.0967
1580.9769, 294.0963
1582.5835, 294.0958
1584.1902, 294.0953
1585.7969, 294.0949
1587.4036, 294.0944
