# DataThief /Users/tim/Dropbox/work/Projects/20_greenedge/datathief/./Hamano+15_Fig12a/Figure.png Tuesday 21-Apr-2020 4:19:10 PM
# T_surf (K), OLR (W/m^2)
2119.2159, 354.92
2119.2159, 355.283
2120.8226, 355.6455
2120.8226, 356.0085
2120.8226, 356.3714
2122.4293, 356.734
2122.4293, 357.0969
2122.4293, 357.4599
2122.4293, 357.8229
2124.036, 358.1854
2124.036, 358.5484
2124.036, 358.9114
2125.6427, 359.2739
2125.6427, 359.6368
2125.6427, 359.9998
2127.2494, 360.3623
2127.2494, 360.7252
2127.2494, 361.0883
2127.2494, 361.4513
2128.8559, 361.8138
2128.8559, 362.1767
2128.8559, 362.5396
2130.4627, 362.9022
2130.4627, 363.2652
2130.4627, 363.6282
2132.0694, 363.9907
2132.0694, 364.3537
2132.0694, 364.7166
2132.0694, 365.0796
2133.6761, 365.4421
2133.6761, 365.8051
2133.6761, 366.1681
2135.2828, 366.5306
2135.2828, 366.8936
2135.2828, 367.2565
2136.8895, 367.6191
2136.8895, 367.982
2136.8895, 368.345
2136.8895, 368.708
2138.4961, 369.0705
2138.4961, 369.4335
2138.4961, 369.7964
2140.1028, 370.159
2140.1028, 370.5219
2140.1028, 370.8849
2141.7095, 371.2474
2141.7095, 371.6104
2141.7095, 371.9734
2143.3162, 372.3359
2143.3162, 372.6989
2143.3162, 373.0618
2143.3162, 373.4248
2144.9229, 373.7873
2144.9229, 374.1503
2144.9229, 374.5133
2146.5295, 374.8758
2146.5295, 375.2388
2146.5295, 375.6017
2148.1362, 375.9642
2148.1362, 376.3272
2148.1362, 376.6902
2148.1362, 377.0532
2149.7429, 377.4157
2149.7429, 377.7787
2149.7429, 378.1416
2151.3496, 378.5041
2151.3496, 378.8671
2151.3496, 379.2301
2152.9563, 379.5926
2152.9563, 379.9556
2152.9563, 380.3186
2152.9563, 380.6815
2154.563, 381.044
2154.563, 381.407
2154.563, 381.77
2156.1697, 382.1325
2156.1697, 382.4955
2156.1697, 382.8585
2157.7763, 383.221
2157.7763, 383.5838
2157.7763, 383.9468
2157.7763, 384.3099
2159.383, 384.6724
2159.383, 385.0354
2159.383, 385.3984
2160.9897, 385.7609
2160.9897, 386.1239
2160.9897, 386.4868
2162.5964, 386.8493
2162.5964, 387.2123
2162.5964, 387.5753
2164.2031, 387.9378
2164.2031, 388.3008
2164.2031, 388.6638
2164.2031, 389.0267
2165.8098, 389.3892
2165.8098, 389.7522
2165.8098, 390.1152
2167.4165, 390.4777
2167.4165, 390.8407
2167.4165, 391.2037
2169.0231, 391.5662
2169.0231, 391.9291
2169.0231, 392.2921
2169.0231, 392.6551
2170.6298, 393.0176
2170.6298, 393.3806
2170.6298, 393.7436
2172.2365, 394.1061
2172.2365, 394.4689
2172.2365, 394.8319
2173.8432, 395.1945
