# DataThief /Users/tim/Dropbox/work/Projects/20_greenedge/datathief/./Hamano+15_Fig12a/Figure.png Tuesday 21-Apr-2020 4:05:37 PM
# T_surf (K), OLR (W/m^2)
1116.6452, 280.801
1118.2519, 280.8005
1119.8586, 280.8
1121.4653, 280.7995
1123.072, 280.7991
1124.6787, 280.7986
1126.2852, 280.7982
1127.892, 280.7976
1129.4987, 280.7972
1131.1054, 280.7968
1132.7121, 280.7963
1134.3188, 280.7957
1135.9254, 280.7953
1137.5321, 280.7949
1139.1388, 280.7944
1140.7455, 280.794
1142.3522, 280.7934
1143.9588, 280.793
1145.5655, 280.7926
1147.1722, 280.7921
1148.7789, 280.7915
1150.3856, 280.7912
1151.9923, 280.7907
1153.599, 280.7902
1155.2057, 280.7898
1156.8123, 280.7893
1158.419, 280.7888
1160.0257, 280.7884
1161.6324, 280.7879
1163.2391, 280.7873
1164.8458, 280.787
1166.4524, 280.7865
1168.0591, 280.786
1169.6658, 280.7856
1171.2725, 280.7851
1172.8792, 280.7846
1174.4859, 280.7842
1176.0925, 280.7837
1177.6992, 280.7832
1179.3059, 280.7828
1180.9125, 280.7823
1182.5192, 280.7818
1184.126, 280.4184
1185.7326, 280.4179
1187.3393, 280.4175
1188.946, 280.417
1190.5527, 280.4165
1192.1594, 280.4161
1193.7661, 280.4156
1195.3728, 280.4151
1196.9794, 280.4147
1198.5861, 280.4142
1200.1928, 280.4137
1201.7995, 280.4133
1203.4062, 280.4128
1205.0129, 280.4123
1206.6195, 280.4119
1208.2262, 280.4114
1209.8329, 280.4109
1211.4396, 280.4104
1213.0463, 280.41
1214.653, 280.4095
1216.2596, 280.4091
1217.8662, 280.4086
1219.4729, 280.4081
1221.0796, 280.4077
1222.6864, 280.4072
1224.2931, 280.4067
1225.8997, 280.4062
1227.5064, 280.4058
1229.1131, 280.4053
1230.7198, 280.4049
1232.3265, 280.4043
1233.9332, 280.4039
1235.5398, 280.4035
1237.1465, 280.403
1238.7532, 280.4025
1240.3599, 280.4021
1241.9666, 280.4016
1243.5733, 280.4011
1245.1799, 280.4007
1246.7866, 280.4002
1248.3933, 280.3997
1250.0, 280.3993
1251.6067, 280.3988
1253.2134, 280.3982
1254.8201, 280.3979
1256.4267, 280.3974
1258.0334, 280.3969
1259.6401, 280.3965
1261.2468, 280.396
1262.8535, 280.3955
1264.4602, 280.3951
1266.0668, 280.3946
1267.6735, 280.3941
1269.2802, 280.3937
1270.8869, 280.3932
1272.4936, 280.3927
1274.1003, 280.3923
1275.7069, 280.3918
1277.3136, 280.3913
1278.9203, 280.3909
1280.527, 280.0274
1282.1337, 280.027
1283.7404, 280.0265
1285.347, 280.026
1286.9537, 280.0256
1288.5604, 280.0251
1290.1671, 280.0246
1291.7738, 280.0242
1293.3805, 280.0237
1294.987, 280.0232
1296.5937, 280.0228
1298.2005, 280.0223
1299.8072, 280.0218
1301.4139, 280.0214
1303.0206, 280.0209
1304.6272, 280.0204
1306.2339, 280.02
1307.8406, 280.0195
1309.4473, 280.019
1311.054, 280.0186
1312.6606, 280.0181
1314.2674, 280.0176
1315.874, 280.0172
1317.4807, 280.0167
1319.0874, 280.0162
1320.6941, 280.0158
1322.3008, 280.0153
1323.9075, 280.0148
1325.5141, 280.0144
1327.1208, 280.0139
1328.7275, 280.0134
1330.3342, 280.013
1331.9409, 280.0125
1333.5476, 280.012
1335.1542, 280.0116
1336.7609, 280.0111
1338.3676, 280.0106
1339.9743, 280.0102
1341.581, 280.0097
1343.1877, 280.0092
1344.7943, 280.0088
1346.401, 280.0083
1348.0077, 280.0078
1349.6143, 280.0074
1351.2211, 280.0069
1352.8277, 280.0064
1354.4344, 280.006
1356.0411, 280.0055
1357.6478, 280.005
1359.2545, 280.3675
1360.8612, 280.3671
1362.4679, 280.3666
1364.0746, 280.366
1365.6812, 280.3657
1367.2879, 280.3652
1368.8946, 280.3647
1370.5013, 280.3643
1372.108, 280.3638
1373.7147, 280.3633
1375.3213, 280.3629
1376.928, 280.3624
1378.5347, 280.3618
1380.1414, 280.3615
1381.7481, 280.361
1383.3548, 280.3606
1384.9614, 280.3601
1386.5681, 280.3596
1388.1748, 280.3592
1389.7814, 280.3587
1391.3881, 280.3582
1392.9949, 280.3578
1394.6015, 280.3573
1396.2082, 280.3568
1397.8149, 280.3564
1399.4216, 280.3559
1401.0283, 280.3554
1402.635, 280.355
1404.2416, 280.3545
1405.8483, 280.354
1407.455, 280.3536
1409.0617, 280.3531
1410.6684, 280.3526
1412.2751, 280.3522
1413.8817, 280.3517
1415.4884, 280.3512
1417.0951, 280.3508
1418.7018, 280.3503
1420.3085, 280.3498
1421.9152, 280.3494
1423.5219, 280.3489
1425.1285, 280.3484
1426.7351, 280.3479
1428.3418, 280.3475
1429.9485, 280.347
1431.5553, 280.3466
1433.162, 280.3461
1434.7686, 280.3456
1436.3753, 280.3452
1437.982, 280.3447
1439.5887, 280.3442
1441.1954, 280.3437
1442.8021, 280.3433
1444.4087, 280.3428
1446.0154, 280.3424
1447.6221, 280.3418
1449.2288, 280.3414
1450.8355, 280.341
1452.4422, 280.3405
1454.0488, 280.34
1455.6555, 280.3396
1457.2622, 280.3391
1458.8689, 280.3386
1460.4756, 280.3382
1462.0823, 280.3377
1463.6888, 280.3372
1465.2955, 280.3368
1466.9022, 280.3363
1468.509, 280.3357
1470.1157, 280.3354
1471.7224, 280.3349
1473.329, 280.3344
1474.9357, 280.334
1476.5424, 280.3335
1478.1491, 280.333
1479.7558, 280.3326
1481.3625, 280.3321
1482.9691, 280.3316
1484.5758, 280.3312
1486.1825, 280.3307
1487.7892, 280.3302
1489.3959, 280.3298
1491.0026, 280.3293
1492.6093, 280.3288
1494.2159, 280.3284
1495.8226, 280.3279
1497.4293, 280.3274
1499.036, 280.327
1500.6427, 280.3265
1502.2494, 280.326
1503.8559, 280.6885
1505.4627, 280.6881
1507.0694, 280.6876
1508.6761, 280.6871
1510.2828, 280.6867
1511.8895, 280.6862
1513.4961, 280.6857
1515.1028, 280.6853
1516.7095, 280.6848
1518.3162, 280.6843
1519.9229, 280.6839
1521.5295, 280.6834
1523.1362, 280.6829
1524.7429, 280.6825
1526.3496, 280.682
1527.9563, 280.6815
1529.563, 280.6811
1531.1697, 280.6806
1532.7763, 280.6801
1534.383, 280.6797
1535.9897, 280.6792
1537.5964, 280.6787
1539.2031, 280.6783
1540.8098, 280.6778
1542.4165, 280.6773
1544.0231, 280.6768
1545.6298, 280.6764
1547.2365, 280.6759
1548.8432, 280.6755
1550.4499, 280.675
1552.0566, 280.6745
1553.6632, 280.6741
1555.2699, 280.6736
1556.8766, 280.6731
1558.4833, 280.6726
1560.09, 280.6722
1561.6966, 280.6717
1563.3033, 280.6713
1564.91, 280.6707
1566.5167, 281.0333
1568.1234, 281.0328
1569.7301, 281.0324
1571.3368, 281.0319
1572.9434, 281.0315
1574.5501, 281.031
1576.1568, 281.0305
1577.7635, 281.0301
1579.3702, 281.0296
1580.9769, 281.0291
1582.5835, 281.0287
1584.1902, 281.0282
1585.7969, 281.0277
1587.4036, 281.0273
1589.0103, 281.0268
1590.617, 281.0263
1592.2237, 281.0259
1593.8303, 281.0254
1595.437, 281.0249
1597.0437, 281.0245
1598.6503, 281.024
1600.257, 281.3865
1601.8638, 281.386
1603.4704, 281.7485
1605.0771, 281.7481
1606.6838, 281.7476
1608.2905, 281.7471
1609.8972, 281.7467
1611.5039, 281.7462
1613.1105, 281.7457
1614.7172, 281.7452
1616.3239, 282.1078
1617.9306, 282.1073
1619.5373, 282.1068
1621.144, 282.1064
1622.7506, 282.1059
1624.3573, 282.1054
1625.964, 282.468
1627.5707, 282.4675
