   Temperature           BIR            BW1               BW2             BUV             BVIS1             BVIS2
   120.000000       3.21829081       4.15772021E-08  0.524514318       0.00000000       0.00000000       0.00000000    
   121.000000       3.31088424       5.21847099E-08  0.558249354       0.00000000       0.00000000       0.00000000    
   122.000000       3.40500355       6.52602665E-08  0.593629599       0.00000000       0.00000000       0.00000000    
   123.000000       3.50064850       8.13224190E-08  0.630708039       0.00000000       0.00000000       0.00000000    
   124.000000       3.59781885       1.00986824E-07  0.669538140       0.00000000       0.00000000       0.00000000    
   125.000000       3.69651365       1.24982137E-07  0.710174263       0.00000000       0.00000000       0.00000000    
   126.000000       3.79673171       1.54168205E-07  0.752671242       0.00000000       0.00000000       0.00000000    
   127.000000       3.89847231       1.89556616E-07  0.797084570       0.00000000       0.00000000       0.00000000    
   128.000000       4.00173378       2.32334088E-07  0.843470454       0.00000000       0.00000000       0.00000000    
   129.000000       4.10651493       2.83888909E-07  0.891885519       0.00000000       0.00000000       0.00000000    
   130.000000       4.21281433       3.45840675E-07  0.942387104       0.00000000       0.00000000       0.00000000    
   131.000000       4.32062960       4.20073746E-07  0.995033145       0.00000000       0.00000000       0.00000000    
   132.000000       4.42995882       5.08774860E-07   1.04988194       0.00000000       0.00000000       0.00000000    
   133.000000       4.54080057       6.14475141E-07   1.10699260       0.00000000       0.00000000       0.00000000    
   134.000000       4.65315199       7.40097050E-07   1.16642439       0.00000000       0.00000000       0.00000000    
   135.000000       4.76701212       8.89006628E-07   1.22823739       0.00000000       0.00000000       0.00000000    
   136.000000       4.88237762       1.06507184E-06   1.29249215       0.00000000       0.00000000       0.00000000    
   137.000000       4.99924707       1.27272654E-06   1.35924935       0.00000000       0.00000000       0.00000000    
   138.000000       5.11761808       1.51704228E-06   1.42857051       0.00000000       0.00000000       0.00000000    
   139.000000       5.23748779       1.80380698E-06   1.50051737       0.00000000       0.00000000       0.00000000    
   140.000000       5.35885477       2.13961175E-06   1.57515216       0.00000000       0.00000000       0.00000000    
   141.000000       5.48171616       2.53194594E-06   1.65253747       0.00000000       0.00000000       0.00000000    
   142.000000       5.60607052       2.98930263E-06   1.73273623       0.00000000       0.00000000       0.00000000    
   143.000000       5.73191547       3.52129382E-06   1.81581187       0.00000000       0.00000000       0.00000000    
   144.000000       5.85924911       4.13877478E-06   1.90182805       0.00000000       0.00000000       0.00000000    
   145.000000       5.98806906       4.85398277E-06   1.99084878       0.00000000       0.00000000       0.00000000    
   146.000000       6.11837435       5.68068481E-06   2.08293843       0.00000000       0.00000000       0.00000000    
   147.000000       6.25016308       6.63434275E-06   2.17816162       0.00000000       0.00000000       0.00000000    
   148.000000       6.38343334       7.73228840E-06   2.27658319       0.00000000       0.00000000       0.00000000    
   149.000000       6.51818466       8.99391307E-06   2.37826848       0.00000000       0.00000000       0.00000000    
   150.000000       6.65441513       1.04408800E-05   2.48328280       0.00000000       0.00000000       0.00000000    
   151.000000       6.79212427       1.20973446E-05   2.59169197       0.00000000       0.00000000       0.00000000    
   152.000000       6.93131113       1.39901958E-05   2.70356154       0.00000000       0.00000000       1.40129846E-45
   153.000000       7.07197571       1.61493208E-05   2.81895781       0.00000000       0.00000000       2.80259693E-45
   154.000000       7.21411705       1.86078796E-05   2.93794703       0.00000000       0.00000000       4.20389539E-45
   155.000000       7.35773563       2.14026113E-05   3.06059551       0.00000000       0.00000000       9.80908925E-45
   156.000000       7.50283194       2.45741558E-05   3.18696976       0.00000000       0.00000000       2.24207754E-44
   157.000000       7.64940643       2.81673947E-05   3.31713676       0.00000000       0.00000000       4.62428493E-44
   158.000000       7.79746008       3.22318301E-05   3.45116282       0.00000000       0.00000000       9.66895940E-44
   159.000000       7.94699430       3.68219771E-05   3.58911538       0.00000000       0.00000000       1.98984382E-43
   160.000000       8.09801006       4.19977732E-05   3.73106098       0.00000000       0.00000000       4.04975256E-43
   161.000000       8.25051022       4.78250549E-05   3.87706685       0.00000000       0.00000000       8.21160900E-43
   162.000000       8.40449715       5.43760107E-05   4.02720022       0.00000000       0.00000000       1.64512440E-42
   163.000000       8.55997276       6.17296973E-05   4.18152809       0.00000000       0.00000000       3.27203191E-42
   164.000000       8.71693993       6.99725861E-05   4.34011745       0.00000000       0.00000000       6.45297943E-42
   165.000000       8.87540436       7.91991260E-05   4.50303602       0.00000000       0.00000000       1.26214953E-41
   166.000000       9.03536701       8.95123521E-05   4.67035007       0.00000000       0.00000000       2.44876907E-41
   167.000000       9.19683552       1.01024532E-04   4.84212780       0.00000000       0.00000000       4.71396803E-41
   168.000000       9.35981178       1.13857837E-04   5.01843500       0.00000000       0.00000000       9.00418341E-41
   169.000000       9.52430344       1.28145053E-04   5.19933987       0.00000000       0.00000000       1.70683758E-40
   170.000000       9.69031620       1.44030346E-04   5.38490915       0.00000000       0.00000000       3.21138372E-40
   171.000000       9.85785484       1.61670047E-04   5.57520914       0.00000000       0.00000000       5.99783769E-40
   172.000000       10.0269279       1.81233481E-04   5.77030706       0.00000000       0.00000000       1.11213912E-39
   173.000000       10.1975412       2.02903859E-04   5.97026968       0.00000000       0.00000000       2.04756891E-39
