   Temperature           BIR            BW1               BW2             BSW
   211.000000       17.9596176       6.84969500E-03   17.8091793       3.39421032E-31
   212.000000       18.2030392       7.39105092E-03   18.2482643       5.09890188E-31
   213.000000       18.4488544       7.96967465E-03   18.6946526       7.63071782E-31
   214.000000       18.6971035       8.58773384E-03   19.1483955       1.13770051E-30
   215.000000       18.9478207       9.24749766E-03   19.6095467       1.69000146E-30
   216.000000       19.2010498       9.95133724E-03   20.0781536       2.50129512E-30
   217.000000       19.4568253       1.07017355E-02   20.5542717       3.68878516E-30
   218.000000       19.7151928       1.15012852E-02   21.0379486       5.42080480E-30
   219.000000       19.9761925       1.23526938E-02   21.5292358       7.93829353E-30
   220.000000       20.2398663       1.32587869E-02   22.0281830       1.15849516E-29
   221.000000       20.5062561       1.42225148E-02   22.5348358       1.68494299E-29
   222.000000       20.7754097       1.52469529E-02   23.0492458       2.44241831E-29
   223.000000       21.0473690       1.63353067E-02   23.5714588       3.52872857E-29
   224.000000       21.3221817       1.74909122E-02   24.1015244       5.08158301E-29
   225.000000       21.5998936       1.87172517E-02   24.6394863       7.29426045E-29
   226.000000       21.8805523       2.00179406E-02   25.1853905       1.04371861E-28
   227.000000       22.1642056       2.13967431E-02   25.7392845       1.48875697E-28
   228.000000       22.4509048       2.28575766E-02   26.3012142       2.11699688E-28
   229.000000       22.7406998       2.44045053E-02   26.8712196       3.00116772E-28
   230.000000       23.0336399       2.60417573E-02   27.4493484       4.24181015E-28
   231.000000       23.3297768       2.77737193E-02   28.0356426       5.97750540E-28
   232.000000       23.6291656       2.96049472E-02   28.6301441       8.39872338E-28
   233.000000       23.9318562       3.15401666E-02   29.2328949       1.17665056E-27
   234.000000       24.2379074       3.35842781E-02   29.8439388       1.64376137E-27
   235.000000       24.5473690       3.57423574E-02   30.4633141       2.28982786E-27
   236.000000       24.8603020       3.80196720E-02   31.0910625       3.18093927E-27
   237.000000       25.1767616       4.04216722E-02   31.7272243       4.40668102E-27
   238.000000       25.4968033       4.29539979E-02   32.3718376       6.08816808E-27
   239.000000       25.8204861       4.56224941E-02   33.0249405       8.38871066E-27
   240.000000       26.1478710       4.84331995E-02   33.6865692       1.15279449E-26
   241.000000       26.4790192       5.13923615E-02   34.3567696       1.58005064E-26
   242.000000       26.8139877       5.45064397E-02   35.0355682       2.16006402E-26
   243.000000       27.1528397       5.77821061E-02   35.7230072       2.94545624E-26
   244.000000       27.4956379       6.12262487E-02   36.4191208       4.00629081E-26
   245.000000       27.8424454       6.48459941E-02   37.1239471       5.43562758E-26
   246.000000       28.1933270       6.86486736E-02   37.8375168       7.35677444E-26
   247.000000       28.5483456       7.26418793E-02   38.5598640       9.93273070E-26
   248.000000       28.9075680       7.68334195E-02   39.2910233       1.33784597E-25
   249.000000       29.2710266       8.12313482E-02   40.0310593       1.79767965E-25
   250.000000       29.6388550       8.58439803E-02   40.7799454       2.40990351E-25
   251.000000       30.0110874       9.06798691E-02   41.5377350       3.22314785E-25
   252.000000       30.3877926       9.57478210E-02   42.3044701       4.30096629E-25
   253.000000       30.7690411      0.101056926       43.0801735       5.72623087E-25
   254.000000       31.1549015      0.106616512       43.8648758       7.60676976E-25
   255.000000       31.5454464      0.112436198       44.6586113       1.00825791E-24
   256.000000       31.9407463      0.118525863       45.4614029       1.33350369E-24
   257.000000       32.3408737      0.124895670       46.2732849       1.75986368E-24
   258.000000       32.7458992      0.131556079       47.0942764       2.31759209E-24
   259.000000       33.1558990      0.138517812       47.9244156       3.04564168E-24
   260.000000       33.5709496      0.145791918       48.7637215       3.99406390E-24
   261.000000       33.9911194      0.153389722       49.6122208       5.22704166E-24
   262.000000       34.4164925      0.161322847       50.4699402       6.82671708E-24
   263.000000       34.8471375      0.169603229       51.3369064       8.89801180E-24
   264.000000       35.2831345      0.178243145       52.2131424       1.15746800E-23
   265.000000       35.7245636      0.187255129       53.0986671       1.50269136E-23
   266.000000       36.1715012      0.196652085       53.9935112       1.94708510E-23
   267.000000       36.6240273      0.206447214       54.8976974       2.51804780E-23
   268.000000       37.0822182      0.216654077       55.8112411       3.25024545E-23
   269.000000       37.5461578      0.227286518       56.7341690       4.18746112E-23
   270.000000       38.0159264      0.238358781       57.6665039       5.38489013E-23
   271.000000       38.4916039      0.249885410       58.6082611       6.91199357E-23
   272.000000       38.9732780      0.261881292       59.5594635       8.85602705E-23
   273.000000       39.4610214      0.274361700       60.5201302       1.13264144E-22
   274.000000       39.9549294      0.287342221       61.4902802       1.44601334E-22
   275.000000       40.4550781      0.300838858       62.4699326       1.84283739E-22
   276.000000       40.9615517      0.314867914       63.4591026       2.34447063E-22
   277.000000       41.4744415      0.329446077       64.4578171       2.97751447E-22
   278.000000       41.9938278      0.344590425       65.4660797       3.77504653E-22
   279.000000       42.5197983      0.360318422       66.4839096       4.77813076E-22
   280.000000       43.0524406      0.376647860       67.5113297       6.03766318E-22
   281.000000       43.5918427      0.393596977       68.5483551       7.61662445E-22
   282.000000       44.1380920      0.411184371       69.5949936       9.59282831E-22
   283.000000       44.6912766      0.429428995       70.6512680       1.20622613E-21
   284.000000       45.2514877      0.448350221       71.7171783       1.51431476E-21
   285.000000       45.8188095      0.467967868       72.7927551       1.89808749E-21
   286.000000       46.3933372      0.488302082       73.8780060       2.37539655E-21
   287.000000       46.9751587      0.509373486       74.9729309       2.96813003E-21
   288.000000       47.5643692      0.531203032       76.0775604       3.70308485E-21
   289.000000       48.1610565      0.553812146       77.1918945       4.61301866E-21
   290.000000       48.7653122      0.577222645       78.3159485       5.73791805E-21
   291.000000       49.3772278      0.601456761       79.4497299       7.12652529E-21
   292.000000       49.9969025      0.626537144       80.5932541       8.83816797E-21
   293.000000       50.6244240      0.652486920       81.7465286       1.09449582E-20
   294.000000       51.2598915      0.679329574       82.9095535       1.35344277E-20
   295.000000       51.9033928      0.707089067       84.0823517       1.67126738E-20
   296.000000       52.5550270      0.735789776       85.2649231       2.06081241E-20
   297.000000       53.2148895      0.765456498       86.4572830       2.53760303E-20
   298.000000       53.8830719      0.796114504       87.6594315       3.12038183E-20
   299.000000       54.5596771      0.827789485       88.8713760       3.83174455E-20
   300.000000       55.2447968      0.860507607       90.0931244       4.69889931E-20
   301.000000       55.9385300      0.894295394       91.3246841       5.75456240E-20
